experiment,lr,batch_size,optimizer,train_pct,test_pct,batch_norm,dropout,best_train_acc,epochs_ran,test_accuracy,train_time
1,0.001,64,adam,0.5,0.5,True,True,98.064,28,78.796,341.13
2,0.001,64,adam,0.5,0.5,True,False,98.6,27,78.076,324.54
3,0.001,64,adam,0.5,0.5,False,True,93.82,27,68.904,313.48
4,0.001,64,adam,0.5,0.5,False,False,96.488,22,69.196,262.64
5,0.001,64,adam,0.7,0.3,True,True,97.52857142857142,22,80.97333333333333,298.07
6,0.001,64,adam,0.7,0.3,True,False,97.90285714285714,19,79.54666666666667,258.44
7,0.001,64,adam,0.7,0.3,False,True,91.99142857142857,22,72.08666666666667,291.87
8,0.001,64,adam,0.7,0.3,False,False,95.21142857142857,18,71.36666666666666,251.64
9,0.001,64,adam,0.9,0.1,True,True,97.78,26,83.2,410.74
10,0.001,64,adam,0.9,0.1,True,False,98.79777777777778,27,83.0,424.56
11,0.001,64,adam,0.9,0.1,False,True,89.38444444444444,18,72.98,283.92
12,0.001,64,adam,0.9,0.1,False,False,95.97111111111111,20,73.82,316.07
13,0.001,64,sgd,0.5,0.5,True,True,98.58,29,72.004,344.97
14,0.001,64,sgd,0.5,0.5,True,False,100.0,11,69.072,144.82
15,0.001,64,sgd,0.5,0.5,False,True,99.44,44,74.152,488.83
16,0.001,64,sgd,0.5,0.5,False,False,100.0,15,69.324,179.87
17,0.001,64,sgd,0.7,0.3,True,True,98.96285714285715,32,76.04,416.97
18,0.001,64,sgd,0.7,0.3,True,False,100.0,11,72.32666666666667,159.0
19,0.001,64,sgd,0.7,0.3,False,True,99.67428571428572,44,75.7,542.51
20,0.001,64,sgd,0.7,0.3,False,False,100.0,18,73.12666666666667,235.5
21,0.001,64,sgd,0.9,0.1,True,True,99.29333333333334,37,77.62,531.51
22,0.001,64,sgd,0.9,0.1,True,False,100.0,13,73.44,202.89
23,0.001,64,sgd,0.9,0.1,False,True,99.49555555555555,42,77.62,574.83
24,0.001,64,sgd,0.9,0.1,False,False,100.0,17,74.3,242.23
25,0.001,64,rmsprop,0.5,0.5,True,True,97.36,37,78.9,431.98
26,0.001,64,rmsprop,0.5,0.5,True,False,97.832,25,79.692,295.81
27,0.001,64,rmsprop,0.5,0.5,False,True,90.1,26,67.124,301.05
28,0.001,64,rmsprop,0.5,0.5,False,False,95.776,33,63.456,370.26
29,0.001,64,rmsprop,0.7,0.3,True,True,96.44285714285714,28,81.88,366.06
30,0.001,64,rmsprop,0.7,0.3,True,False,98.57142857142857,30,80.72666666666667,390.48
31,0.001,64,rmsprop,0.7,0.3,False,True,85.83428571428571,26,70.37333333333333,332.23
32,0.001,64,rmsprop,0.7,0.3,False,False,94.44285714285714,21,71.7,271.64
33,0.001,64,rmsprop,0.9,0.1,True,True,95.52666666666667,30,81.94,443.07
34,0.001,64,rmsprop,0.9,0.1,True,False,98.59777777777778,27,83.04,422.06
35,0.001,64,rmsprop,0.9,0.1,False,True,84.9088888888889,26,65.6,394.72
36,0.001,64,rmsprop,0.9,0.1,False,False,94.90222222222222,23,73.6,352.48
37,0.01,32,adam,0.7,0.3,True,True,10.034285714285714,5,9.726666666666667,127.42
38,0.01,64,adam,0.7,0.3,True,True,10.151428571428571,4,9.68,81.95
39,0.01,128,adam,0.7,0.3,True,True,10.237142857142857,2,9.986666666666666,47.75
40,0.001,32,adam,0.7,0.3,True,True,97.32,28,81.29333333333334,536.78
41,0.001,64,adam,0.7,0.3,True,True,98.07428571428571,31,80.47333333333333,450.61
42,0.001,128,adam,0.7,0.3,True,True,98.56857142857143,37,79.74666666666667,465.51
43,0.0001,32,adam,0.7,0.3,True,True,97.92285714285714,30,76.99333333333334,575.84
44,0.0001,64,adam,0.7,0.3,True,True,97.87714285714286,29,76.33333333333333,420.35
45,0.0001,128,adam,0.7,0.3,True,True,97.27714285714286,22,73.90666666666667,292.93
46,0.001,16,adam,0.7,0.3,True,True,96.81428571428572,35,79.68,985.76
47,0.001,32,adam,0.7,0.3,True,True,97.54857142857144,31,81.48666666666666,539.07
48,0.001,64,adam,0.7,0.3,True,True,98.39428571428572,31,81.46666666666667,415.41
49,0.001,128,adam,0.7,0.3,True,True,97.78857142857143,30,80.23333333333333,366.75
50,0.001,256,adam,0.7,0.3,True,True,97.38857142857142,34,81.44666666666667,374.26
