lr,batch_size,optimizer,train_pct,test_pct,batch_norm,dropout,best_train_acc,epochs_ran,test_accuracy,train_time
0.001,32,adam,0.7,0.3,True,False,98.52285714285715,24,79.24,373.65
0.001,32,adam,0.7,0.3,False,True,79.86857142857143,14,70.42,219.62
0.001,32,adam,0.9,0.1,True,False,98.92444444444445,30,83.58,586.08
0.001,32,adam,0.9,0.1,False,True,79.78666666666666,23,70.32,437.97
0.001,64,adam,0.7,0.3,True,False,98.21142857142857,22,80.08666666666667,256.56
0.001,64,adam,0.7,0.3,False,True,92.08285714285714,24,71.68666666666667,276.31
0.001,64,adam,0.9,0.1,True,False,98.49555555555555,22,82.36,340.56
0.001,64,adam,0.9,0.1,False,True,90.66222222222223,21,74.24,311.99
0.0001,32,adam,0.7,0.3,True,False,97.70571428571428,15,71.41333333333333,254.64
0.0001,32,adam,0.7,0.3,False,True,98.33714285714285,26,72.98666666666666,399.17
0.0001,32,adam,0.9,0.1,True,False,98.3,20,76.94,423.05
0.0001,32,adam,0.9,0.1,False,True,98.88222222222223,34,75.94,659.66
0.0001,64,adam,0.7,0.3,True,False,98.06,16,74.46666666666667,196.06
0.0001,64,adam,0.7,0.3,False,True,97.58,16,69.61333333333333,191.77
0.0001,64,adam,0.9,0.1,True,False,98.53333333333333,24,77.0,367.38
0.0001,64,adam,0.9,0.1,False,True,98.27777777777777,21,72.9,314.3
0.01,32,sgd,0.7,0.3,True,False,99.49428571428571,17,79.81333333333333,239.16
0.01,32,sgd,0.7,0.3,False,True,89.94571428571429,18,72.84,243.52
0.01,32,sgd,0.9,0.1,True,False,99.80888888888889,20,83.92,359.26
0.01,32,sgd,0.9,0.1,False,True,89.96,19,74.2,328.1
0.01,64,sgd,0.7,0.3,True,False,99.74571428571429,20,80.49333333333334,217.77
0.01,64,sgd,0.7,0.3,False,True,98.04,33,75.35333333333334,336.65
0.01,64,sgd,0.9,0.1,True,False,99.85111111111111,24,83.06,331.66
0.01,64,sgd,0.9,0.1,False,True,10.073333333333334,5,9.56,86.98
0.001,32,sgd,0.7,0.3,True,False,100.0,17,75.30666666666667,240.84
0.001,32,sgd,0.7,0.3,False,True,99.17714285714285,30,76.52666666666667,389.95
0.001,32,sgd,0.9,0.1,True,False,100.0,18,77.42,326.97
0.001,32,sgd,0.9,0.1,False,True,99.20222222222222,28,77.42,471.89
0.001,64,sgd,0.7,0.3,True,False,100.0,11,71.74,127.19
0.001,64,sgd,0.7,0.3,False,True,99.40857142857143,39,76.78,395.53
0.001,64,sgd,0.9,0.1,True,False,100.0,13,73.48,194.27
0.001,64,sgd,0.9,0.1,False,True,99.33777777777777,36,78.1,469.95
0.001,32,rmsprop,0.7,0.3,True,False,98.91142857142857,43,74.44,626.65
0.001,32,rmsprop,0.7,0.3,False,True,74.47142857142858,17,62.126666666666665,251.44
0.001,32,rmsprop,0.9,0.1,True,False,98.7311111111111,37,81.5,698.58
0.001,32,rmsprop,0.9,0.1,False,True,70.11111111111111,10,62.0,204.38
0.001,64,rmsprop,0.7,0.3,True,False,98.58857142857143,28,81.24,313.94
0.001,64,rmsprop,0.7,0.3,False,True,86.1,23,68.11333333333333,252.64
0.001,64,rmsprop,0.9,0.1,True,False,98.9888888888889,37,83.12,520.78
0.001,64,rmsprop,0.9,0.1,False,True,83.05555555555556,20,67.1,288.27
0.0001,32,rmsprop,0.7,0.3,True,False,98.74,35,78.12666666666667,511.48
0.0001,32,rmsprop,0.7,0.3,False,True,98.06,24,72.7,332.92
0.0001,32,rmsprop,0.9,0.1,True,False,98.38666666666667,27,78.36,524.55
0.0001,32,rmsprop,0.9,0.1,False,True,97.66444444444444,21,74.32,391.55
0.0001,64,rmsprop,0.7,0.3,True,False,97.92571428571429,17,75.52,195.61
0.0001,64,rmsprop,0.7,0.3,False,True,98.80285714285715,39,71.06,415.59
0.0001,64,rmsprop,0.9,0.1,True,False,98.37333333333333,22,69.94,324.56
0.0001,64,rmsprop,0.9,0.1,False,True,98.79555555555555,38,70.4,522.33
